,article_name,article_quality,country,population,revision_id
391,Nusura Tiperu,Start,Uganda,44.1,789748782
392,Florence Nakiwala Kiyingi,Start,Uganda,44.1,789748978
393,Ruth Nankabirwa,Start,Uganda,44.1,789799593
394,Justine Lumumba Kasule,Start,Uganda,44.1,789799605
395,Idah Nantaba,C,Uganda,44.1,789799744
396,Harriet Ntabazi,Start,Uganda,44.1,789799847
397,Florence Nebanda,Start,Uganda,44.1,789799901
398,Lukia Isanga Nakadama,Start,Uganda,44.1,789799952
399,Mariam Nalubega,Start,Uganda,44.1,789799984
400,Jenipher Namuyangu,C,Uganda,44.1,789800111
401,Sarah Kataike,C,Uganda,44.1,789800331
402,Caroline Amali Okao,Start,Uganda,44.1,789800629
403,Beatrice Rwakimari,Stub,Uganda,44.1,789803765
404,Mariam Naigaga,C,Uganda,44.1,790372580
405,Rose Akol,Start,Uganda,44.1,790424964
406,Amelia Kyambadde,Start,Uganda,44.1,790428762
407,Jehoash Mayanja Nkangi,Start,Uganda,44.1,790837175
408,Joash Mayanja Nkangi,C,Uganda,44.1,790993796
409,Moses Adome,Stub,Uganda,44.1,791007274
410,Paulson Luttamaguzi,Stub,Uganda,44.1,791007297
411,Charles Engola,Start,Uganda,44.1,793154991
412,Cerinah Nebanda,Start,Uganda,44.1,793515881
413,John Ssebaana Kizito,Start,Uganda,44.1,793539141
414,Persis Namuganza,Start,Uganda,44.1,793628029
415,Christine Amongin Aporu,Start,Uganda,44.1,794194807
416,Christine Ondoa,Start,Uganda,44.1,794200311
417,Concy Aciro,Start,Uganda,44.1,795100048
418,Peace Mutuuzo,Start,Uganda,44.1,795181968
419,Patrick Kayemba,Stub,Uganda,44.1,795404749
420,Alengot Oromait,Start,Uganda,44.1,795458281
421,Beti Kamya-Turwomwe,C,Uganda,44.1,796177970
422,Abdu Katuntu,Stub,Uganda,44.1,796406864
423,Loyce Biira Bwambale,Start,Uganda,44.1,796684047
424,Mike Kennedy Sebalu,Stub,Uganda,44.1,796694225
425,Miria Matembe,Start,Uganda,44.1,796695675
426,Kalema of Buganda,Start,Uganda,44.1,796808819
427,Maria Mutagamba,Start,Uganda,44.1,796899099
428,Sarah Achieng Opendi,Start,Uganda,44.1,796991691
429,Benedicto Kiwanuka,Start,Uganda,44.1,797399615
430,Yusuf Lule,Start,Uganda,44.1,797449179
431,Miria Obote,Stub,Uganda,44.1,797874277
432,Grace Akello,Start,Uganda,44.1,798483499
433,Joyce Moriku,Start,Uganda,44.1,798506935
434,David Karubanga,Stub,Uganda,44.1,799178559
435,Peter Takirambudde,Stub,Uganda,44.1,799513148
436,Mustafa Adrisi,Stub,Uganda,44.1,799651351
437,Rose Namayanja,C,Uganda,44.1,800003733
438,Timeline of Kampala,C,Uganda,44.1,800090136
439,Dora Byamukama,Stub,Uganda,44.1,800350710
440,Kirya Balaki Kebba,C,Uganda,44.1,800452152
441,Ismail Ogama,Stub,Uganda,44.1,800595514
442,Kassiano Wadri,Stub,Uganda,44.1,800595577
443,Abraham Waligo,Stub,Uganda,44.1,800900766
444,Rebecca Kadaga,Start,Uganda,44.1,800965489
445,Emma Boona,C,Uganda,44.1,801577218
446,Augustine Nshimye,Start,Uganda,44.1,801836959
447,Ibrahim Ssemujju Nganda,Start,Uganda,44.1,801874546
448,Paulo Muwanga,Start,Uganda,44.1,802211455
449,Christopher Kibanzanga,Start,Uganda,44.1,802286792
450,Ezekiel Tenywa Wako of Busoga,Stub,Uganda,44.1,802517620
451,Robert Kyagulanyi Ssentamu,C,Uganda,44.1,802822017
452,Mariam Najjemba,Start,Uganda,44.1,802972400
453,Bernadette Olowo,Stub,Uganda,44.1,803360897
454,Monica Azuba Ntege,Start,Uganda,44.1,803417110
455,Benna Namugwanya,Start,Uganda,44.1,804317144
456,Dorothy Hyuha,Start,Uganda,44.1,804643751
457,Sam Cheptoris,Start,Uganda,44.1,804781815
458,Betty Oyella Bigombe,C,Uganda,44.1,804829931
459,Muwenda Mutebi II of Buganda,C,Uganda,44.1,804856220
460,Nabilah Naggayi Sempala,Start,Uganda,44.1,804883827
461,Charles Mayiga,Start,Uganda,44.1,804903944
462,Muteesa I of Buganda,Start,Uganda,44.1,805179937
463,Mwanga II of Buganda,C,Uganda,44.1,805289323
464,Idi Amin,B,Uganda,44.1,805328243
465,Irene Muloni,Start,Uganda,44.1,805393764
466,Gershom Sizomu,Start,Uganda,44.1,805409966
467,Specioza Kazibwe,Start,Uganda,44.1,805435381
468,Janet Museveni,C,Uganda,44.1,805463795
469,Evelyn Anite,C,Uganda,44.1,805660978
470,Betty Amongi,Start,Uganda,44.1,805668648
471,Cecilia Ogwal,Start,Uganda,44.1,805668810
